0,122
0,25
0,31
0,77
0,45
0,149
0,10
0,57
0,140
0,125
0,112
0,11
0,51
0,27
0,80
0,130
0,28
0,107
2,77
2,21
2,79
4,77
4,28
4,24
5,77
5,45
6,77
7,45
7,77
7,150
7,11
7,22
7,63
7,125
7,80
7,27
7,107
7,25
7,31
7,51
7,68
7,122
7,140
7,141
7,10
7,133
7,57
7,30
7,40
7,144
9,77
10,23
10,75
10,148
10,113
10,31
10,140
10,77
10,34
10,37
10,122
10,51
10,28
10,27
10,25
10,59
10,78
10,70
10,68
10,127
10,107
10,141
10,133
10,117
10,150
10,40
10,144
10,30
10,39
10,104
10,47
10,126
10,131
10,56
10,106
10,48
10,132
10,102
11,23
11,112
11,45
11,159
11,113
11,31
11,51
11,77
11,39
11,104
11,70
11,30
11,47
11,140
11,150
11,116
11,83
11,34
11,76
11,27
11,67
11,37
11,82
11,118
11,63
11,78
11,135
11,73
11,48
11,102
11,20
11,92
11,58
11,125
11,80
11,130
11,115
14,51
14,14
18,148
18,113
18,106
20,77
20,104
20,55
20,106
21,140
21,77
21,30
21,80
22,45
22,77
22,39
22,150
22,76
22,63
22,135
22,48
22,102
23,98
23,107
23,45
23,77
23,122
23,30
23,24
23,28
23,59
23,25
23,118
23,41
23,80
23,140
23,37
23,27
23,34
23,144
23,148
23,113
23,89
23,35
23,47
23,126
23,105
23,56
23,63
23,136
23,106
23,132
23,102
23,92
23,88
24,75
24,45
24,159
24,148
24,113
24,51
24,77
24,26
24,59
24,39
24,25
24,104
24,121
24,30
24,140
24,149
24,83
24,34
24,27
24,78
24,117
24,80
24,52
24,107
24,87
24,106
24,102
25,142
25,75
25,112
25,45
25,148
25,113
25,31
25,51
25,77
25,59
25,39
25,107
25,27
25,28
25,78
25,70
25,68
25,37
25,34
25,127
25,73
25,122
25,149
25,140
25,67
25,141
25,133
25,150
25,57
25,30
25,124
25,117
25,40
25,144
25,80
25,138
25,104
25,47
25,131
25,76
25,56
25,135
25,106
25,132
25,102
25,92
26,77
26,30
26,140
26,27
26,122
26,136
27,50
27,142
27,75
27,45
27,148
27,113
27,31
27,51
27,77
27,39
